indicator,year,value,iso_code,units,name
Education,2015,4.238609791,Latin America & Caribbean,% of GDP,Latin America & Caribbean
Education,2016,4.592265129,Latin America & Caribbean,% of GDP,Latin America & Caribbean
Education,2017,4.470970154,Latin America & Caribbean,% of GDP,Latin America & Caribbean
Education,2018,4.460289955,Latin America & Caribbean,% of GDP,Latin America & Caribbean
Education,2019,4.403110027,Latin America & Caribbean,% of GDP,Latin America & Caribbean
Education,2020,4.399374962,Latin America & Caribbean,% of GDP,Latin America & Caribbean
Education,2008,4.282284975,Middle East & North Africa,% of GDP,Middle East & North Africa
Education,2010,4.392223482,Middle East & North Africa,% of GDP,Middle East & North Africa
Education,2011,3.484970093,Middle East & North Africa,% of GDP,Middle East & North Africa
Education,2012,4.273994903,Middle East & North Africa,% of GDP,Middle East & North Africa
Education,2013,4.098185062,Middle East & North Africa,% of GDP,Middle East & North Africa
Education,2014,4.317732596,Middle East & North Africa,% of GDP,Middle East & North Africa
Education,2015,3.930850029,Middle East & North Africa,% of GDP,Middle East & North Africa
Education,2016,4.567229986,Middle East & North Africa,% of GDP,Middle East & North Africa
Education,2017,4.221014977,Middle East & North Africa,% of GDP,Middle East & North Africa
Education,2018,5.136470998,Middle East & North Africa,% of GDP,Middle East & North Africa
Education,2019,4.427714944,Middle East & North Africa,% of GDP,Middle East & North Africa
Education,2020,3.879869938,Middle East & North Africa,% of GDP,Middle East & North Africa
Education,2010,6.038171446,North America,% of GDP,North America
Education,2011,5.891807699,North America,% of GDP,North America
Education,2012,5.484221796,North America,% of GDP,North America
Education,2013,5.419970833,North America,% of GDP,North America
Education,2014,5.490489105,North America,% of GDP,North America
Education,2015,4.846395016,North America,% of GDP,North America
Education,2016,4.80728507,North America,% of GDP,North America
Education,2017,5.034595013,North America,% of GDP,North America
Education,2018,4.900655031,North America,% of GDP,North America
Education,2019,4.880820036,North America,% of GDP,North America
Education,2020,5.61,North America,% of GDP,North America
Education,2004,3.262240052,South Asia,% of GDP,South Asia
Education,2005,3.188750029,South Asia,% of GDP,South Asia
Education,2006,2.900000095,South Asia,% of GDP,South Asia
Education,2007,2.742635012,South Asia,% of GDP,South Asia
Education,2008,3.50999999,South Asia,% of GDP,South Asia
Education,2009,3.504124999,South Asia,% of GDP,South Asia
Education,2010,3.479449987,South Asia,% of GDP,South Asia
Education,2011,3.271369934,South Asia,% of GDP,South Asia
Education,2012,3.330429912,South Asia,% of GDP,South Asia
Education,2013,3.29549317,South Asia,% of GDP,South Asia
Education,2014,3.088589907,South Asia,% of GDP,South Asia
Education,2015,3.275026846,South Asia,% of GDP,South Asia
Education,2016,3.494546142,South Asia,% of GDP,South Asia
Education,2017,3.451116954,South Asia,% of GDP,South Asia
Education,2018,3.43209781,South Asia,% of GDP,South Asia
Education,2019,3.349730413,South Asia,% of GDP,South Asia
Education,2020,4.183101012,South Asia,% of GDP,South Asia
Education,2010,3.544029951,Sub-Saharan Africa,% of GDP,Sub-Saharan Africa
Education,2011,3.582365036,Sub-Saharan Africa,% of GDP,Sub-Saharan Africa
Education,2012,3.452700019,Sub-Saharan Africa,% of GDP,Sub-Saharan Africa
Education,2013,3.61578989,Sub-Saharan Africa,% of GDP,Sub-Saharan Africa
Education,2014,3.698624969,Sub-Saharan Africa,% of GDP,Sub-Saharan Africa
Education,2015,3.801520109,Sub-Saharan Africa,% of GDP,Sub-Saharan Africa
Education,2016,3.747920036,Sub-Saharan Africa,% of GDP,Sub-Saharan Africa
Education,2017,3.789769888,Sub-Saharan Africa,% of GDP,Sub-Saharan Africa
Education,2018,3.87612009,Sub-Saharan Africa,% of GDP,Sub-Saharan Africa
Education,2019,3.711319923,Sub-Saharan Africa,% of GDP,Sub-Saharan Africa
Education,2020,3.732915044,Sub-Saharan Africa,% of GDP,Sub-Saharan Africa
Education,2002,4.899490118,High income,% of GDP,High income
Education,2005,4.844334841,High income,% of GDP,High income
Education,2008,4.839900017,High income,% of GDP,High income
Education,2009,5.018044949,High income,% of GDP,High income
Education,2010,5.05092001,High income,% of GDP,High income
Education,2011,4.824919939,High income,% of GDP,High income
Education,2012,4.767404171,High income,% of GDP,High income
Education,2013,4.856455088,High income,% of GDP,High income
Education,2014,4.860694885,High income,% of GDP,High income
Education,2015,4.832545042,High income,% of GDP,High income
Education,2016,4.712300818,High income,% of GDP,High income
Education,2017,4.558460236,High income,% of GDP,High income
Education,2018,4.668979883,High income,% of GDP,High income
Education,2019,4.669209957,High income,% of GDP,High income
Education,2020,5.150730133,High income,% of GDP,High income
Education,2010,3.343889952,Low income,% of GDP,Low income
Education,2011,3.269814968,Low income,% of GDP,Low income
Education,2012,3.253409982,Low income,% of GDP,Low income
Education,2013,3.067680001,Low income,% of GDP,Low income
Education,2014,3.15555501,Low income,% of GDP,Low income
Education,2015,3.156545043,Low income,% of GDP,Low income
Education,2016,2.958430052,Low income,% of GDP,Low income
Education,2017,2.913915038,Low income,% of GDP,Low income
Education,2018,3.199790001,Low income,% of GDP,Low income
Education,2019,3.237070084,Low income,% of GDP,Low income
Education,2020,3.002110004,Low income,% of GDP,Low income
Education,2010,4.12473011,Lower middle income,% of GDP,Lower middle income
Education,2011,3.916825056,Lower middle income,% of GDP,Lower middle income
Education,2012,4.018030167,Lower middle income,% of GDP,Lower middle income
Education,2013,4.576469898,Lower middle income,% of GDP,Lower middle income
Education,2014,4.25138998,Lower middle income,% of GDP,Lower middle income
Education,2015,4.154720068,Lower middle income,% of GDP,Lower middle income
Education,2016,4.299444914,Lower middle income,% of GDP,Lower middle income
Education,2017,4.3182238,Lower middle income,% of GDP,Lower middle income
Education,2018,4.061404943,Lower middle income,% of GDP,Lower middle income
Education,2019,3.716379881,Lower middle income,% of GDP,Lower middle income
Education,2020,4.183101012,Lower middle income,% of GDP,Lower middle income
Education,2010,3.869227052,Upper middle income,% of GDP,Upper middle income
Education,2011,4.197289944,Upper middle income,% of GDP,Upper middle income
Education,2012,3.989559889,Upper middle income,% of GDP,Upper middle income
Education,2013,4.058229923,Upper middle income,% of GDP,Upper middle income
Education,2014,4.360330105,Upper middle income,% of GDP,Upper middle income
Education,2015,4.280404806,Upper middle income,% of GDP,Upper middle income
Education,2016,4.737750053,Upper middle income,% of GDP,Upper middle income
Education,2017,4.57488513,Upper middle income,% of GDP,Upper middle income
Education,2018,4.45058012,Upper middle income,% of GDP,Upper middle income
Education,2019,4.225659847,Upper middle income,% of GDP,Upper middle income
Education,2020,4.527186917,Upper middle income,% of GDP,Upper middle income
Education,2015,4.743500233,Blend,% of GDP,Blend
Education,2016,5.224139929,Blend,% of GDP,Blend
Education,2017,4.708969831,Blend,% of GDP,Blend
Education,2018,4.342994572,Blend,% of GDP,Blend
Education,2010,3.869227052,IBRD,% of GDP,IBRD
Education,2011,4.070869923,IBRD,% of GDP,IBRD
Education,2012,4.120819807,IBRD,% of GDP,IBRD
Education,2013,4.391880035,IBRD,% of GDP,IBRD
Education,2014,4.438379666,IBRD,% of GDP,IBRD
Education,2015,4.222899914,IBRD,% of GDP,IBRD
Education,2016,4.344810009,IBRD,% of GDP,IBRD
Education,2017,4.25,IBRD,% of GDP,IBRD
Education,2018,4.328904867,IBRD,% of GDP,IBRD
Education,2019,4.109290123,IBRD,% of GDP,IBRD
Education,2020,4.246679783,IBRD,% of GDP,IBRD
Education,2010,3.656625032,IDA,% of GDP,
Education,2011,3.754230022,IDA,% of GDP,
Education,2012,3.5042393,IDA,% of GDP,
Education,2013,3.421379924,IDA,% of GDP,
Education,2014,3.671705008,IDA,% of GDP,
Education,2015,3.735805035,IDA,% of GDP,
Education,2016,3.686490059,IDA,% of GDP,
Education,2017,3.775149941,IDA,% of GDP,
Education,2018,3.886130095,IDA,% of GDP,
Education,2019,3.596839905,IDA,% of GDP,
Education,2020,3.702399969,IDA,% of GDP,
Education,2005,4.898519993,Not classified_lending,% of GDP,Not classified_lending
Education,2008,4.90378499,Not classified_lending,% of GDP,Not classified_lending
Education,2009,5.077455044,Not classified_lending,% of GDP,Not classified_lending
Education,2010,5.297860146,Not classified_lending,% of GDP,Not classified_lending
Education,2011,5.070785046,Not classified_lending,% of GDP,Not classified_lending
Education,2012,4.863114834,Not classified_lending,% of GDP,Not classified_lending
Education,2013,4.98458004,Not classified_lending,% of GDP,Not classified_lending
Education,2014,4.878499985,Not classified_lending,% of GDP,Not classified_lending
Education,2015,4.909530163,Not classified_lending,% of GDP,Not classified_lending
Education,2016,4.798150063,Not classified_lending,% of GDP,Not classified_lending
Education,2017,4.826184988,Not classified_lending,% of GDP,Not classified_lending
Education,2018,4.912330151,Not classified_lending,% of GDP,Not classified_lending
Education,2019,4.841609955,Not classified_lending,% of GDP,Not classified_lending
Education,2020,5.22,Not classified_lending,% of GDP,Not classified_lending
Education,2010,3.548259974,Africa,% of GDP,Africa
Education,2011,3.582365036,Africa,% of GDP,Africa
Education,2012,3.479490042,Africa,% of GDP,Africa
Education,2013,4.083439827,Africa,% of GDP,Africa
Education,2014,4.083680153,Africa,% of GDP,Africa
Education,2015,3.897724986,Africa,% of GDP,Africa
Education,2016,4.011160135,Africa,% of GDP,Africa
Education,2017,3.796624899,Africa,% of GDP,Africa
Education,2018,3.886130095,Africa,% of GDP,Africa
Education,2019,3.713849902,Africa,% of GDP,Africa
Education,2020,3.763430119,Africa,% of GDP,Africa
Education,2013,4.809329987,America,% of GDP,America
Education,2014,4.760030031,America,% of GDP,America
Education,2015,4.470389843,America,% of GDP,America
Education,2016,4.722535133,America,% of GDP,America
Education,2017,4.518219948,America,% of GDP,America
Education,2018,4.545729876,America,% of GDP,America
Education,2019,4.553109884,America,% of GDP,America
Education,2020,4.585385084,America,% of GDP,America
Education,2008,3.459830046,Asia,% of GDP,Asia
Education,2009,3.589999914,Asia,% of GDP,Asia
Education,2010,3.508440018,Asia,% of GDP,Asia
Education,2011,3.462009907,Asia,% of GDP,Asia
Education,2012,3.50744009,Asia,% of GDP,Asia
Education,2013,3.445914984,Asia,% of GDP,Asia
Education,2014,3.421649933,Asia,% of GDP,Asia
Education,2015,3.372126866,Asia,% of GDP,Asia
Education,2016,3.505990028,Asia,% of GDP,Asia
Education,2017,3.528923819,Asia,% of GDP,Asia
Education,2018,3.531774998,Asia,% of GDP,Asia
Education,2019,3.539999962,Asia,% of GDP,Asia
Education,2020,3.879869938,Asia,% of GDP,Asia
Education,2001,4.81137991,Europe,% of GDP,Europe
Education,2002,5.164219856,Europe,% of GDP,Europe
Education,2003,5.114180088,Europe,% of GDP,Europe
Education,2004,5.046380043,Europe,% of GDP,Europe
Education,2005,5.073949814,Europe,% of GDP,Europe
Education,2007,4.868740082,Europe,% of GDP,Europe
Education,2008,5.029049873,Europe,% of GDP,Europe
Education,2009,5.43156004,Europe,% of GDP,Europe
Education,2010,5.289154707,Europe,% of GDP,Europe
Education,2011,5.071619987,Europe,% of GDP,Europe
Education,2012,4.952995062,Europe,% of GDP,Europe
Education,2013,5.009419918,Europe,% of GDP,Europe
Education,2014,4.928280115,Europe,% of GDP,Europe
Education,2015,4.909530163,Europe,% of GDP,Europe
Education,2016,4.792669773,Europe,% of GDP,Europe
Education,2017,4.689909935,Europe,% of GDP,Europe
Education,2018,4.678199768,Europe,% of GDP,Europe
Education,2019,4.669209957,Europe,% of GDP,Europe
Education,2020,5.19,Europe,% of GDP,Europe
Education,2015,5.710000038,Oceania,% of GDP,Oceania
Education,2017,5.698274851,Oceania,% of GDP,Oceania
Education,2018,6.210705042,Oceania,% of GDP,Oceania
Education,2019,5.149515152,Oceania,% of GDP,Oceania
Education,2020,5.98,Oceania,% of GDP,Oceania
Education,2005,2.569999933,AFG,% of GDP,Afghanistan
Education,2006,2.900000095,AFG,% of GDP,Afghanistan
Education,2007,2.849999905,AFG,% of GDP,Afghanistan
Education,2008,3.50999999,AFG,% of GDP,Afghanistan
Education,2009,3.730000019,AFG,% of GDP,Afghanistan
Education,2010,3.479449987,AFG,% of GDP,Afghanistan
Education,2011,3.462009907,AFG,% of GDP,Afghanistan
Education,2012,3.319999933,AFG,% of GDP,Afghanistan
Education,2013,3.454459906,AFG,% of GDP,Afghanistan
Education,2014,3.695219994,AFG,% of GDP,Afghanistan
Education,2015,3.255800009,AFG,% of GDP,Afghanistan
Education,2016,3.511980057,AFG,% of GDP,Afghanistan
Education,2017,3.373310089,AFG,% of GDP,Afghanistan
Education,2018,3.199790001,AFG,% of GDP,Afghanistan
Education,2019,3.213779926,AFG,% of GDP,Afghanistan
Education,2020,2.860859487,AFG,% of GDP,Afghanistan
Education,2000,2.607530117,AGO,% of GDP,Angola
Education,2005,2.120110035,AGO,% of GDP,Angola
Education,2006,2.281460047,AGO,% of GDP,Angola
Education,2007,2.920000076,AGO,% of GDP,Angola
Education,2008,2.690000057,AGO,% of GDP,Angola
Education,2009,3.210000038,AGO,% of GDP,Angola
Education,2010,3.421319962,AGO,% of GDP,Angola
Education,2011,3.029999971,AGO,% of GDP,Angola
Education,2012,3.081909895,AGO,% of GDP,Angola
Education,2013,4.438950062,AGO,% of GDP,Angola
Education,2014,3.122920036,AGO,% of GDP,Angola
Education,2015,3.486900091,AGO,% of GDP,Angola
Education,2016,2.754940033,AGO,% of GDP,Angola
Education,2017,2.466880083,AGO,% of GDP,Angola
Education,2018,2.044699907,AGO,% of GDP,Angola
Education,2019,1.927459955,AGO,% of GDP,Angola
Education,2020,2.415199995,AGO,% of GDP,Angola
Education,2000,3.828870058,AIA,% of GDP,
Education,2001,5.401760101,AIA,% of GDP,
Education,2002,5.416409969,AIA,% of GDP,
Education,2003,5.095880032,AIA,% of GDP,
Education,2005,2.956020117,AIA,% of GDP,
Education,2008,2.830379963,AIA,% of GDP,
Education,2015,2.979640007,AIA,% of GDP,
Education,2016,3.139630079,AIA,% of GDP,
Education,2017,3.606650114,AIA,% of GDP,
Education,2018,3.316950083,AIA,% of GDP,
Education,2019,2.791810036,AIA,% of GDP,
Education,2020,4.009513751,AIA,% of GDP,
Education,2000,3.430170059,ALB,% of GDP,Albania
Education,2001,3.458699942,ALB,% of GDP,Albania
Education,2002,3.117799997,ALB,% of GDP,Albania
Education,2003,3.138230085,ALB,% of GDP,Albania
Education,2004,3.227519989,ALB,% of GDP,Albania
Education,2005,3.281549931,ALB,% of GDP,Albania
Education,2006,3.191459894,ALB,% of GDP,Albania
Education,2007,3.275929928,ALB,% of GDP,Albania
Education,2010,3.413075048,ALB,% of GDP,Albania
Education,2011,3.079999924,ALB,% of GDP,Albania
Education,2012,2.930000067,ALB,% of GDP,Albania
Education,2013,3.539299965,ALB,% of GDP,Albania
Education,2014,3.049999952,ALB,% of GDP,Albania
Education,2015,3.437969923,ALB,% of GDP,Albania
Education,2016,3.962090015,ALB,% of GDP,Albania
Education,2017,3.611730099,ALB,% of GDP,Albania
Education,2018,3.154901166,ALB,% of GDP,Albania
Education,2019,3.916650057,ALB,% of GDP,Albania
Education,2020,3.099999905,ALB,% of GDP,Albania
Education,2000,4.580309868,ARG,% of GDP,Argentina
Education,2001,4.833740234,ARG,% of GDP,Argentina
Education,2002,4.017340183,ARG,% of GDP,Argentina
Education,2003,3.535049915,ARG,% of GDP,Argentina
Education,2004,3.486520052,ARG,% of GDP,Argentina
Education,2005,3.860009909,ARG,% of GDP,Argentina
Education,2006,4.128210068,ARG,% of GDP,Argentina
Education,2007,4.462600231,ARG,% of GDP,Argentina
Education,2008,4.844409943,ARG,% of GDP,Argentina
Education,2009,5.531050205,ARG,% of GDP,Argentina
Education,2010,5.019710064,ARG,% of GDP,Argentina
Education,2011,5.290629864,ARG,% of GDP,Argentina
Education,2012,5.345829964,ARG,% of GDP,Argentina
Education,2013,5.436610222,ARG,% of GDP,Argentina
Education,2014,5.361440182,ARG,% of GDP,Argentina
Education,2015,5.776110172,ARG,% of GDP,Argentina
Education,2016,5.545489788,ARG,% of GDP,Argentina
Education,2017,5.454319954,ARG,% of GDP,Argentina
Education,2018,4.877739906,ARG,% of GDP,Argentina
Education,2019,4.724170208,ARG,% of GDP,Argentina
Education,2020,5.016049862,ARG,% of GDP,Argentina
Education,2000,2.772730112,ARM,% of GDP,Armenia
Education,2001,2.469439983,ARM,% of GDP,Armenia
Education,2002,2.135040045,ARM,% of GDP,Armenia
Education,2003,2.145040035,ARM,% of GDP,Armenia
Education,2004,2.486730099,ARM,% of GDP,Armenia
Education,2005,2.712029934,ARM,% of GDP,Armenia
Education,2006,2.715770006,ARM,% of GDP,Armenia
Education,2007,3.018939972,ARM,% of GDP,Armenia
Education,2008,3.172729969,ARM,% of GDP,Armenia
Education,2009,3.840790033,ARM,% of GDP,Armenia
Education,2010,3.249000072,ARM,% of GDP,Armenia
Education,2011,3.143850088,ARM,% of GDP,Armenia
Education,2012,2.772480011,ARM,% of GDP,Armenia
Education,2013,2.650180101,ARM,% of GDP,Armenia
Education,2014,2.247240067,ARM,% of GDP,Armenia
Education,2015,2.80591011,ARM,% of GDP,Armenia
Education,2016,2.75812006,ARM,% of GDP,Armenia
Education,2017,2.707590103,ARM,% of GDP,Armenia
Education,2018,2.255870104,ARM,% of GDP,Armenia
Education,2019,2.561850071,ARM,% of GDP,Armenia
Education,2020,2.705670118,ARM,% of GDP,Armenia
Education,2021,2.771389961,ARM,% of GDP,Armenia
Education,2002,3.395250082,ATG,% of GDP,Antigua and Barbuda
Education,2009,2.508889914,ATG,% of GDP,Antigua and Barbuda
Education,2012,2.485247654,ATG,% of GDP,Antigua and Barbuda
Education,2013,2.606475928,ATG,% of GDP,Antigua and Barbuda
Education,2014,2.701471045,ATG,% of GDP,Antigua and Barbuda
Education,2015,2.840734053,ATG,% of GDP,Antigua and Barbuda
Education,2016,2.430799961,ATG,% of GDP,Antigua and Barbuda
Education,2017,2.448479891,ATG,% of GDP,Antigua and Barbuda
Education,2018,2.644079924,ATG,% of GDP,Antigua and Barbuda
Education,2019,2.831340075,ATG,% of GDP,Antigua and Barbuda
Education,2020,3.453119993,ATG,% of GDP,Antigua and Barbuda
Education,2021,3.836250067,ATG,% of GDP,Antigua and Barbuda
Education,2000,4.887310028,AUS,% of GDP,Australia
Education,2005,4.898519993,AUS,% of GDP,Australia
Education,2006,4.740650177,AUS,% of GDP,Australia
Education,2007,4.656219959,AUS,% of GDP,Australia
Education,2008,4.632780075,AUS,% of GDP,Australia
Education,2009,5.084519863,AUS,% of GDP,Australia
Education,2010,5.543039799,AUS,% of GDP,Australia
Education,2011,5.069950104,AUS,% of GDP,Australia
Education,2012,4.867879868,AUS,% of GDP,Australia
Education,2013,5.229239941,AUS,% of GDP,Australia
Education,2014,5.164690018,AUS,% of GDP,Australia
Education,2015,5.315839767,AUS,% of GDP,Australia
Education,2016,5.286230087,AUS,% of GDP,Australia
Education,2017,5.136809826,AUS,% of GDP,Australia
Education,2018,5.123449802,AUS,% of GDP,Australia
Education,2019,5.135310173,AUS,% of GDP,Australia
Education,2020,6.1,AUS,% of GDP,Australia
Education,2000,5.588809967,AUT,% of GDP,Austria
Education,2001,5.575479984,AUT,% of GDP,Austria
Education,2002,5.522130013,AUT,% of GDP,Austria
Education,2003,5.361830235,AUT,% of GDP,Austria
Education,2004,5.302430153,AUT,% of GDP,Austria
Education,2005,5.249370098,AUT,% of GDP,Austria
Education,2006,5.226520061,AUT,% of GDP,Austria
Education,2007,5.146900177,AUT,% of GDP,Austria
Education,2008,5.263959885,AUT,% of GDP,Austria
Education,2009,5.730249882,AUT,% of GDP,Austria
Education,2010,5.700479984,AUT,% of GDP,Austria
Education,2011,5.592269897,AUT,% of GDP,Austria
Education,2012,5.480400085,AUT,% of GDP,Austria
Education,2013,5.547110081,AUT,% of GDP,Austria
Education,2014,5.447619915,AUT,% of GDP,Austria
Education,2015,5.456580162,AUT,% of GDP,Austria
Education,2016,5.47961998,AUT,% of GDP,Austria
Education,2017,5.371590137,AUT,% of GDP,Austria
Education,2018,5.224520206,AUT,% of GDP,Austria
Education,2019,5.212910175,AUT,% of GDP,Austria
Education,2020,5.07,AUT,% of GDP,Austria
Education,2000,3.853990078,AZE,% of GDP,Azerbaijan
Education,2001,3.503420115,AZE,% of GDP,Azerbaijan
Education,2002,3.154459953,AZE,% of GDP,Azerbaijan
Education,2003,3.286149979,AZE,% of GDP,Azerbaijan
Education,2004,3.447700024,AZE,% of GDP,Azerbaijan
Education,2005,2.974620104,AZE,% of GDP,Azerbaijan
Education,2006,2.555520058,AZE,% of GDP,Azerbaijan
Education,2007,2.549279928,AZE,% of GDP,Azerbaijan
Education,2008,2.44092989,AZE,% of GDP,Azerbaijan
Education,2009,3.224309921,AZE,% of GDP,Azerbaijan
Education,2010,2.780620098,AZE,% of GDP,Azerbaijan
Education,2011,2.435640097,AZE,% of GDP,Azerbaijan
Education,2012,2.067630053,AZE,% of GDP,Azerbaijan
Education,2013,2.442130089,AZE,% of GDP,Azerbaijan
Education,2014,2.633039951,AZE,% of GDP,Azerbaijan
Education,2015,2.951679945,AZE,% of GDP,Azerbaijan
Education,2016,2.903409958,AZE,% of GDP,Azerbaijan
Education,2017,2.473819971,AZE,% of GDP,Azerbaijan
Education,2018,2.455430031,AZE,% of GDP,Azerbaijan
Education,2019,2.681080103,AZE,% of GDP,Azerbaijan
Education,2020,4.332049847,AZE,% of GDP,Azerbaijan
Education,2000,2.645479918,BDI,% of GDP,Burundi
Education,2001,2.903909922,BDI,% of GDP,Burundi
Education,2002,3.004930019,BDI,% of GDP,Burundi
Education,2004,3.74496007,BDI,% of GDP,Burundi
Education,2005,3.632159948,BDI,% of GDP,Burundi
Education,2008,5.192900181,BDI,% of GDP,Burundi
Education,2009,6.171949863,BDI,% of GDP,Burundi
Education,2010,6.775249958,BDI,% of GDP,Burundi
Education,2011,6.319250107,BDI,% of GDP,Burundi
Education,2012,6.167860031,BDI,% of GDP,Burundi
Education,2013,5.995359898,BDI,% of GDP,Burundi
Education,2014,6.784520149,BDI,% of GDP,Burundi
Education,2015,6.370540142,BDI,% of GDP,Burundi
Education,2016,4.691999912,BDI,% of GDP,Burundi
Education,2017,4.762020111,BDI,% of GDP,Burundi
Education,2018,5.078649998,BDI,% of GDP,Burundi
Education,2019,5.346680164,BDI,% of GDP,Burundi
Education,2020,5.040979862,BDI,% of GDP,Burundi
Education,2005,5.795859814,BEL,% of GDP,Belgium
Education,2008,6.332940102,BEL,% of GDP,Belgium
Education,2009,6.458099842,BEL,% of GDP,Belgium
Education,2010,6.442590237,BEL,% of GDP,Belgium
Education,2011,6.431990147,BEL,% of GDP,Belgium
Education,2012,6.255764873,BEL,% of GDP,Belgium
Education,2013,6.630529881,BEL,% of GDP,Belgium
Education,2014,6.590469837,BEL,% of GDP,Belgium
Education,2015,6.451570034,BEL,% of GDP,Belgium
Education,2016,6.461730003,BEL,% of GDP,Belgium
Education,2017,6.425340176,BEL,% of GDP,Belgium
Education,2018,6.381370068,BEL,% of GDP,Belgium
Education,2019,6.339759827,BEL,% of GDP,Belgium
Education,2020,6.71,BEL,% of GDP,Belgium
Education,2000,2.113660097,BEN,% of GDP,Benin
Education,2001,2.365099907,BEN,% of GDP,Benin
Education,2002,2.159490108,BEN,% of GDP,Benin
Education,2003,2.283159971,BEN,% of GDP,Benin
Education,2004,2.566900015,BEN,% of GDP,Benin
Education,2005,2.656680107,BEN,% of GDP,Benin
Education,2006,2.56340003,BEN,% of GDP,Benin
Education,2007,2.363310099,BEN,% of GDP,Benin
Education,2008,2.777280092,BEN,% of GDP,Benin
Education,2009,3.089270115,BEN,% of GDP,Benin
Education,2010,3.679970026,BEN,% of GDP,Benin
Education,2011,4.397880077,BEN,% of GDP,Benin
Education,2012,3.562020063,BEN,% of GDP,Benin
Education,2013,3.327510118,BEN,% of GDP,Benin
Education,2014,3.161789894,BEN,% of GDP,Benin
Education,2015,3.17298007,BEN,% of GDP,Benin
Education,2016,2.899100065,BEN,% of GDP,Benin
Education,2017,3.535589933,BEN,% of GDP,Benin
Education,2018,2.931619883,BEN,% of GDP,Benin
Education,2019,2.965199947,BEN,% of GDP,Benin
Education,2020,3.003659964,BEN,% of GDP,Benin
Education,2005,3.941139936,BFA,% of GDP,Burkina Faso
Education,2006,3.982189894,BFA,% of GDP,Burkina Faso
Education,2007,4.07983017,BFA,% of GDP,Burkina Faso
Education,2010,3.502229929,BFA,% of GDP,Burkina Faso
Education,2011,3.985150099,BFA,% of GDP,Burkina Faso
Education,2012,3.603159904,BFA,% of GDP,Burkina Faso
Education,2013,4.083439827,BFA,% of GDP,Burkina Faso
Education,2014,4.053299904,BFA,% of GDP,Burkina Faso
Education,2015,3.67008996,BFA,% of GDP,Burkina Faso
Education,2017,5.628469944,BFA,% of GDP,Burkina Faso
Education,2018,5.488609791,BFA,% of GDP,Burkina Faso
Education,2019,5.696849823,BFA,% of GDP,Burkina Faso
Education,2020,5.519080162,BFA,% of GDP,Burkina Faso
Education,2000,2.125080109,BGD,% of GDP,Bangladesh
Education,2001,2.171930075,BGD,% of GDP,Bangladesh
Education,2002,2.017149925,BGD,% of GDP,Bangladesh
Education,2003,2.069390059,BGD,% of GDP,Bangladesh
Education,2004,1.940140009,BGD,% of GDP,Bangladesh
Education,2006,2.131289959,BGD,% of GDP,Bangladesh
Education,2007,2.202219963,BGD,% of GDP,Bangladesh
Education,2008,2.05456996,BGD,% of GDP,Bangladesh
