year,counterpart_area,income_level,Africa,Other
2011,African Dev. Bank,Lower middle income,0.814,
2010,African Dev. Bank,Lower middle income,0.669,
2009,African Dev. Bank,Lower middle income,1.089,
2008,African Dev. Bank,Lower middle income,3.004,
2007,African Dev. Bank,Lower middle income,1.579,
2006,African Dev. Bank,Lower middle income,3.598,
2005,African Dev. Bank,Lower middle income,2.167,
2004,African Dev. Bank,Lower middle income,1.56,
2003,African Dev. Bank,Lower middle income,1.502,
2002,African Dev. Bank,Lower middle income,2.058,
2001,African Dev. Bank,Lower middle income,2.161,
2000,African Dev. Bank,Lower middle income,4.2,
2021,World Bank-IDA,Upper middle income,,0.81
2020,World Bank-IDA,Upper middle income,,0.898
2019,World Bank-IDA,Upper middle income,,0.839
2018,World Bank-IDA,Upper middle income,,1.083
2017,World Bank-IDA,Upper middle income,,1.297
2016,World Bank-IDA,Upper middle income,,1.36
2015,World Bank-IDA,Upper middle income,,1.768
2014,World Bank-IDA,Upper middle income,,1.674
2013,World Bank-IDA,Upper middle income,,2.11
2012,World Bank-IDA,Upper middle income,,1.892
2011,World Bank-IDA,Upper middle income,,0.75
2010,World Bank-IDA,Upper middle income,,0.75
2009,World Bank-IDA,Upper middle income,,0.75
2008,World Bank-IDA,Upper middle income,,0.75
2007,World Bank-IDA,Upper middle income,,0.75
2006,World Bank-IDA,Upper middle income,,0.822
2005,World Bank-IDA,Upper middle income,,0.75
2004,World Bank-IDA,Upper middle income,,0.75
2003,World Bank-IDA,Upper middle income,,0.75
2002,World Bank-IDA,Upper middle income,,0.75
2001,World Bank-IDA,Upper middle income,0.75,0.75
2000,World Bank-IDA,Upper middle income,,0.75
2021,World Bank-IBRD,Upper middle income,0.788,1.12
2020,World Bank-IBRD,Upper middle income,0.5,1.551
2019,World Bank-IBRD,Upper middle income,1.05,2.844
2018,World Bank-IBRD,Upper middle income,,3.081
2017,World Bank-IBRD,Upper middle income,1.588,2.028
2016,World Bank-IBRD,Upper middle income,1.099,1.693
2015,World Bank-IBRD,Upper middle income,,1.127
2014,World Bank-IBRD,Upper middle income,0.988,0.688
2013,World Bank-IBRD,Upper middle income,0.925,0.871
2012,World Bank-IBRD,Upper middle income,1.358,1.123
2011,World Bank-IBRD,Upper middle income,,1.116
2010,World Bank-IBRD,Upper middle income,0.778,0.917
2009,World Bank-IBRD,Upper middle income,0.841,1.227
2008,World Bank-IBRD,Upper middle income,2.614,3.01
2007,World Bank-IBRD,Upper middle income,,5.601
2006,World Bank-IBRD,Upper middle income,4.613,5.52
2005,World Bank-IBRD,Upper middle income,,4.348
2004,World Bank-IBRD,Upper middle income,,2.578
2003,World Bank-IBRD,Upper middle income,,1.741
2002,World Bank-IBRD,Upper middle income,3.605,2.476
2001,World Bank-IBRD,Upper middle income,,4.26
2000,World Bank-IBRD,Upper middle income,7.71,7.05
2021,Bondholders,Upper middle income,5.923,3.801
2020,Bondholders,Upper middle income,5.701,4.587
2019,Bondholders,Upper middle income,5.198,5.374
2018,Bondholders,Upper middle income,5.656,6.032
2017,Bondholders,Upper middle income,5.018,4.469
2016,Bondholders,Upper middle income,4.86,6.76
2015,Bondholders,Upper middle income,5.379,4.82
2014,Bondholders,Upper middle income,4.815,4.497
2013,Bondholders,Upper middle income,5.787,3.414
2012,Bondholders,Upper middle income,4.971,4.058
2011,Bondholders,Upper middle income,5.078,4.307
2010,Bondholders,Upper middle income,5.0,3.999
2009,Bondholders,Upper middle income,5.0,5.288
2008,Bondholders,Upper middle income,5.0,6.614
2007,Bondholders,Upper middle income,6.445,6.152
2006,Bondholders,Upper middle income,6.5,6.546
2005,Bondholders,Upper middle income,,6.466
2004,Bondholders,Upper middle income,6.5,6.42
2003,Bondholders,Upper middle income,5.25,7.102
2002,Bondholders,Upper middle income,6.872,8.496
2001,Bondholders,Upper middle income,5.63,7.95
2000,Bondholders,Upper middle income,5.413,9.781
2019,African Export-Import Bank,Upper middle income,0.0,
2018,African Export-Import Bank,Upper middle income,3.2,
2021,African Dev. Bank,Upper middle income,1.05,
2020,African Dev. Bank,Upper middle income,1.761,
2019,African Dev. Bank,Upper middle income,0.8,
2018,African Dev. Bank,Upper middle income,0.592,
2017,African Dev. Bank,Upper middle income,0.344,
2016,African Dev. Bank,Upper middle income,0.768,
2014,African Dev. Bank,Upper middle income,0.381,
2012,African Dev. Bank,Upper middle income,0.936,
2011,African Dev. Bank,Upper middle income,0.558,
2010,African Dev. Bank,Upper middle income,0.968,
2009,African Dev. Bank,Upper middle income,1.042,
2007,African Dev. Bank,Upper middle income,4.881,
2006,African Dev. Bank,Upper middle income,4.378,
2005,African Dev. Bank,Upper middle income,4.23,
2004,African Dev. Bank,Upper middle income,1.986,
2002,African Dev. Bank,Upper middle income,2.025,
2001,African Dev. Bank,Upper middle income,3.739,
2000,African Dev. Bank,Upper middle income,5.9,
